id,50000_units,5000_units,500_units,50_units,5_units
1,10000,2500,100,15,3
2,600,400,100,30,20
3,900,400,60,20,10
5,1000,125,50,20,5
4,800,300,150,100,50
6,8200,835,100,60,30
7,8000,2500,1200,500,350
8,3000,800,400,100,30
9,439.26,175.7,76.87,10.98,5.49
10,1000,500,200,100,20
11,150,75,50,25,5
12,8000,900,100,90,80
13,2500,750,250,150,125
14,2500,250,42,10,2
15,1149.22,405.61,236.6,60.84,27.04
16,369.95,184.98,92.49,49.33,43.16
17,2500,400,50,20,7
18,1500,300,50,20,10
19,200,150,120,60,20
20,975,235,45,27,9
21,6800,1000,225,80,35
22,850,174,17,2,1
23,600,190,75,50,10
24,1000,500,200,100,50
25,5000,650,150,50,25
26,878.81,608.41,338.01,101.4,81.12
27,200,100,50,30,10
28,300,200,100,30,15
29,4316.11,924.88,246.63,73.99,30.83
30,1500,400,200,100,50
31,380,75,70,50,20
32,200,100,50,25,10
33,950,300,100,40,15
34,3800,450,180,20,6
35,1800,400,100,50,20
36,450,200,100,49,25
37,2028.03,676.01,236.6,30.42,16.9
38,1109.86,739.9,246.63,215.81,123.32
39,1098.15,549.08,274.54,164.72,65.89
40,300,75,35,15,5
41,1500,400,200,125,100
42,6165.87,616.59,61.66,12.33,1.23
43,200,180,150,100,50
44,3000,600,165,39,15
45,900,300,70,10,1
46,3576.21,1183.85,215.81,55.49,24.66
47,1800,500,100,25,10
48,700,200,100,60,40
49,1195,450,100,15,3
50,3000,400,100,50,20
51,8000,1800,300,100,50
52,1000,100,5,2,1
53,1563,667,50,13,3
54,4932.7,1479.81,493.27,246.63,37
55,6000,850,180,80,30
56,616.59,123.32,61.66,37,12.33
57,5000,2500,250,25,10
58,616.59,369.95,73.99,37,18.5
59,1279.23,255.85,153.51,127.92,15.35
60,1250,995,275,125,75
61,2000,525,175,50,5
62,1647.23,439.26,98.83,32.94,16.47
63,200,100,50,35,25
64,1100,150,15,5,2
65,2000,300,150,30,10
66,3000,800,500,100,50
67,2000,900,340,90,35
68,1603.13,493.27,73.99,24.66,8.63
69,541.28,231.98,23.2,7.73,3.87
70,2500,500,150,65,20
71,5000,1500,550,200,100
72,10000,900,90,10,5
73,3000,400,50,10,5
74,3294.45,603.98,219.63,109.82,87.85
75,1647.23,329.45,65.89,43.93,21.96
76,2745.38,439.26,153.74,21.96,10.98
77,5000,1400,175,50,20
78,616.59,110.99,37,6.17,3.7
79,3000,1000,500,300,200
80,1000,800,450,250,100
81,7500,1000,100,10,1
82,1000,300,25,10,5
83,600,200,100,60,15
84,265,45,13,4,2
85,500,75,55,35,25
86,616.59,221.97,123.32,61.66,37
87,450,100,20,5,2
88,1126.84,375.61,75.12,37.56,7.51
89,450,175,35,15,5
90,678.25,184.98,92.49,37,6.17
91,1200,400,200,120,30
92,1000,100,10,5,1
93,100,50,15,5,1
94,500,250,100,50,30
95,4392.6,2196.3,219.63,21.96,10.98
96,800,400,200,50,20
97,274.54,54.91,27.45,5.49,1.1
98,110,45,30,20,15
99,2500,300,100,40,15
100,2500,500,125,25,5
101,750,100,75,50,25
102,5500,1500,250,50,15
103,10000,1250,250,100,20
104,600,75,15,10,5
105,329.45,65.89,21.96,10.98,8.79
106,330,170,120,70,30
107,3000,600,250,105,50
108,4316.11,678.25,61.66,37,12.33
109,1000,250,150,75,20
110,10000,1000,360,120,50
111,10000,1500,150,15,5
112,2750,415,210,150,75
113,3000,500,300,50,25
114,100000,9000,750,60,4
115,2500,500,100,25,10
116,1356.49,147.98,86.32,49.33,24.66
117,2000,300,100,30,5
118,800,100,40,10,5
119,1849.76,246.63,37,14.8,12.33
120,7.06,0.71,0.07,0.04,0.01
121,5000,500,50,20,10
122,1502.45,187.81,56.34,26.29,18.78
123,10517.17,1051.72,93.9,56.34,15.02
124,4000,750,200,100,50
125,1058.96,211.79,112.96,84.72,56.48
126,250,200,150,100,50
127,5000,450,75,40,20
128,400,250,100,50,15
129,300,100,25,10,5
130,650,200,100,50,25
131,5000,700,100,10,2
132,4131.75,901.47,75.12,37.56,18.78
133,2500,1700,270,50,40
134,5647.78,282.39,112.96,56.48,28.24
135,878.52,549.08,329.45,274.54,164.72
136,300,30,3,2,1
137,100,50,25,15,10
138,750,150,30,10,5
139,1000,250,150,100,50
140,2500,400,150,50,35
141,1100,400,100,25,10
142,1600,200,40,25,10
143,5000,750,200,100,50
144,713.8,274.54,137.27,38.44,27.45
145,700,500,300,200,100
146,1500,500,200,150,50
147,160,55,22,17,6
148,15000,150,20,14,5
149,870,530,430,130,40
150,200,110,50,40,20
151,3500,750,175,50,15
152,250,100,50,25,10
153,2000,200,25,5,1
155,4392.6,1098.15,823.61,307.48,54.91
154,700,347,200,70,4
156,3756.13,751.23,187.81,131.46,37.56
157,600,120,50,10,2
158,8500,1000,300,80,50
160,100,40,20,5,4
161,3380.05,236.6,54.08,16.9,13.52
159,400,150,120,70,12
162,500,300,200,150,100
163,12500,2000,250,200,175
164,6588.9,1317.78,274.54,137.27,54.91
165,600,200,80,45,25
166,4000,500,125,25,10
167,5490.75,768.71,131.78,65.89,32.94
168,1000,150,50,25,10
169,2000,135,55,20,5
171,200,100,50,20,10
170,2800,1000,400,150,100
172,500,250,30,5,3
173,200,50,20,15,7
174,375.61,150.25,56.34,18.78,7.51
175,1000,175,100,50,25
176,307.02,204.68,153.51,127.92,25.58
177,5490.75,658.89,241.59,82.36,54.91
178,7500,750,150,30,10
179,250,180,80,20,10
180,450,90,68,45,20
181,1479.81,493.27,147.98,49.33,14.8
182,10000,100,40,20,5
183,1500,300,175,50,25
184,1500,590,290,75,30
185,1500,300,200,100,99
186,54907.52,5490.75,549.08,54.91,5.49
187,200,80,35,25,10
188,1500,500,100,10,5
189,1250,275,68,38,6
190,2500,300,120,15,8
191,200,100,60,25,10
192,100,50,10,2,1
193,5,4,3,2,1
194,1000,50,30,20,15
195,500,200,100,50,25
196,5000,1000,400,100,50
197,1647.23,329.45,197.67,164.72,109.82
198,1250,200,35,25,10
199,800,199,99,25,15
200,30000,3000,300,30,3
201,716.37,281.43,153.51,58.84,40.94
202,800,400,200,100,50
203,500,100,50,25,5
204,2000,300,40,20,10
205,350,125,65,35,15
206,360,180,105,36,12
207,250,150,55,20,10
208,4700,600,160,35,25
209,300,200,50,30,7
210,1000,400,100,25,10
211,2000,300,60,30,20
212,6165.87,3082.94,431.61,61.66,30.83
213,480,110,80,50,20
214,5271.12,823.61,219.63,109.82,98.83
215,1200,250,125,22,4
216,750,200,125,75,50
217,4200,500,75,10,5
218,750,150,25,5,1
219,995,295,95,29,10
220,4500,1000,555,200,100
221,1500,200,50,15,10
222,800,450,250,60,10
223,9000000,500000,105000,9000,500
224,85,40,10,5,2
225,3500,400,105,14,7
226,2196.3,329.45,109.82,54.91,32.94
227,850,450,125,50,20
228,5000,475,75,25,5
229,4932.7,986.54,308.29,123.32,61.66
230,2500,900,200,70,25
231,1000,275,100,50,30
232,5500,1200,300,50,25
233,500,250,45,15,5
234,2466.35,554.93,49.33,12.33,6.17
235,10,9,8,7,5
236,10,9,8,7,5
237,10,9,8,7,5
238,4500,750,100,50,25
239,1000,350,120,50,15
240,9000,3000,500,300,60
241,1000,500,100,30,15
242,2500,500,100,50,20
243,1800,230,35,15,8
244,2000,200,20,7,5
245,150.25,22.54,15.02,7.51,3.76
246,5,4,3,2,1
247,2500,400,50,15,5
248,2000,1000,300,200,50
249,550,85,40,35,25
250,6588.9,1317.78,461.22,329.45,164.72
251,3699.52,1233.17,369.95,73.99,24.66
252,933.43,384.35,197.67,76.87,32.94
253,933.43,384.35,197.67,76.87,32.94
254,1200,120,15,4,2
255,1500,1000,450,150,20
256,4000,600,150,35,15
257,5000,1500,500,75,20
258,2500,250,25,10,5
259,450,65,35,25,10
260,1665,165,20,5,1
261,3000,250,40,8,1
262,507.01,236.6,169,101.4,20.28
263,800,280,90,15,5
264,100,20,10,5,1
265,12500,1500,150,20,10
266,5000,500,50,20,5
267,5000,750,200,60,25
268,346.57,86.64,27.73,8.66,3.47
269,3000,350,40,20,5
270,1000,240,80,79,46
271,1500,500,100,25,10
272,10000,3000,300,200,100
273,250,120,57,37,17
274,270,90,30,20,10
275,1400,360,100,50,15
276,3500,500,80,40,10
277,725,300,150,50,10
278,20,10,5,2,1
279,1000,100,50,10,5
280,3750,400,125,35,15
281,5000,2500,500,250,100
282,6000,680,200,150,100
283,1500,250,50,10,5
284,1500,500,200,50,20
285,600,100,40,20,10
286,500,100,35,25,15
287,3000,450,90,18,8
288,5000,1500,1300,1200,500
289,1999,150,25,15,10
290,845,175,110,80,35
291,1500,175,50,20,5
292,9000,1100,150,40,35
293,800,500,125,30,16
294,1000,350,175,100,25
295,500,250,100,30,20
296,750,500,250,100,30
297,4500,500,200,150,50
298,400,150,40,15,7
299,1232.07,739.24,246.41,123.21,49.28
300,4000,400,70,13,4
301,800,200,100,55,25
302,2200,875,100,16,10
303,1600,275,95,30,5
304,2500,750,300,100,50
305,1100,650,100,30,10
306,1750,275,175,120,50
307,2470.84,384.35,38.44,16.47,8.79
308,1500,500,200,100,30
309,500,250,150,50,15
310,4000,1000,500,350,175
311,6000,600,250,100,80
312,500,90,70,50,20
313,2000,200,15,4,1
314,7000,1000,120,25,20
315,10,9,8,7,6
316,3000,350,200,150,100
317,1233.17,184.98,30.83,6.17,1.23
318,1500,400,150,50,20
319,2500,250,25,10,5
320,900,100,35,20,10
321,2500,365,100,40,15
322,47.35,15.78,6.31,3.16,0.63
323,5000,1250,250,25,5
324,1600,800,200,25,15
325,8000,800,80,8,1
326,3294.45,713.8,120.8,43.93,32.94
327,985,285,85,15,10
328,100,50,40,5,1
329,2000,400,150,50,25
330,5000,3500,400,50,5
331,2500,300,60,20,10
332,3000,600,300,100,50
333,10000,2000,120,25,5
334,2500,1500,750,625,500
335,1233,155,39,25,15
336,5000,1000,300,100,50
337,600,225,150,100,60
338,125,100,75,25,10
339,2500,300,60,25,10
340,8236.13,823.61,384.35,108.72,93.34
341,1500,750,500,450,200
342,1500,250,75,40,15
343,1800,550,120,30,10
344,2000,200,50,35,10
345,2000,200,100,70,50
346,3074.82,461.22,241.59,98.83,38.44
347,164.72,54.91,27.45,3.29,1.1
348,300,200,100,60,30
349,150,75,50,25,5
350,800,150,50,12,2
351,1500,775,295,75,50
352,200,199,99,49,15
353,616.59,246.63,73.99,49.33,24.66
354,1800,420,120,60,38
355,700,250,150,50,10
356,3500,750,350,65,20
357,250,80,40,15,10
358,3500,1000,300,45,25
359,12300,900,125,40,30
360,1270.75,211.79,35.3,21.18,16.94
361,1000,150,75,50,10
362,20000,2000,200,20,2
363,10000,1700,250,80,40
364,300,100,30,20,5
365,1500,150,25,10,5
366,900,300,100,50,10
367,20000,1500,150,15,2
368,1976.67,603.98,197.67,49.42,27.45
369,80,30,25,10,2
370,2600,200,40,10,5
371,2400,325,70,18,2
372,1000,300,50,30,10
373,15000,1000,200,50,10
374,4000,600,80,50,40
375,1024,128,10,9,8
376,600,150,100,50,25
377,0,0,0,0,0
378,500,250,125,45,10
379,10000,850,100,40,1
380,4000,400,65,20,5
381,100,40,20,10,5
382,200,100,50,30,15
383,600,250,75,10,5
384,800,100,20,10,5
385,1000,500,100,50,10
386,5000,1000,200,60,50
387,1200,300,150,50,10
388,823.61,329.45,164.72,82.36,54.91
389,5000,500,75,25,5
390,4500,800,175,75,25
391,61.66,30.83,12.33,6.17,1.23
392,1250,600,200,80,25
393,1250,250,50,25,15
394,1500,250,50,20,15
395,10000,1000,100,10,5
396,1500,500,150,25,15
397,863.22,147.98,37,12.33,6.17
398,200,15,10,2,1
399,2466.35,493.27,184.98,73.99,24.66
400,350,150,50,35,20
401,600,180,60,39,30
402,1000,400,100,25,10
403,35000,1500,500,120,50
404,100,50,25,10,5
405,9000,1500,150,50,30
406,3000,300,50,20,5
407,390,118,45,15,8
408,15104,2854,540,103,21
409,2500,300,50,10,5
410,5000,450,70,10,5
411,900,320,225,200,65
412,3000,380,55,25,7
413,2500,400,250,150,45
414,10000,1000,100,10,2
415,5000,2500,600,350,200
416,1200,400,250,100,50
417,8500,700,150,65,35
418,6000,1250,250,50,10
419,3000,390,65,11,3
420,2500,350,70,12,10
421,1000,500,100,25,10
422,250,50,15,10,5
423,4000,400,50,10,1
424,150,70,15,5,3
425,400,150,50,20,5
426,1425,288,65,12,3
427,2000,900,80,40,10
428,9500,925,75,55,15
429,2500,750,300,85,25
430,850,250,100,55,40
431,1200,450,250,150,75
432,3000,300,80,60,40
433,1000,500,250,150,25
434,1500,300,100,50,25
435,1000,300,100,75,20
436,9850,725,150,25,10
437,10000,300,275,150,125
438,1250,250,20,3,1
439,400,100,75,20,5
440,3200,400,300,150,75
441,300,65,30,10,3
442,10500,1500,150,15,5
443,5000,500,50,15,5
444,200,100,30,15,1
445,949.54,326.79,113.45,39.46,14.8
446,1300,275,100,30,5
447,1000,120,40,20,10
448,20000,3000,650,350,250
449,800,125,15,3,2
450,3500,600,250,200,175
451,3500,2000,250,75,50
452,2000,500,150,60,30
453,175,50,40,20,10
454,500,300,125,75,50
455,1000,200,50,40,20
456,200,100,20,5,1
457,6000,600,60,6,2
458,750,250,125,50,25
459,2200,600,250,85,30
460,450,250,200,75,65
461,1250,120,80,40,20
462,2400,1000,100,25,10
463,500,150,20,5,1
464,1400,200,60,20,8
466,1000,250,50,35,5
465,5000,250,75,25,10
467,2000,300,100,20,10
470,1000,500,250,100,50
468,500,200,175,125,100
471,900,115,25,8,2
469,924.88,123.32,61.66,18.5,6.17
473,5500,650,75,32,20
474,750,200,48,8,4
472,1500,150,60,20,5
476,2500,1000,250,50,25
475,111602.33,11098.57,986.54,92.49,12.33
477,1750,300,80,10,2
478,800,400,200,50,25
481,1500,150,15,2,1
480,369.95,98.65,14.8,6.17,3.7
479,160,100,42,19,3
483,2000,500,60,20,5
482,4500,400,60,35,20
486,2500,150,60,15,7
484,2500,500,200,30,10
487,850,400,115,22,5
488,10000,1000,45,20,10
485,200000,4000,450,45,15
490,1372.69,274.54,82.36,16.47,13.18
489,1500,400,175,25,10
491,3000,600,60,6,1
493,1500,200,25,10,2
495,3500,500,80,12,5
492,5000,300,200,50,25
494,500,75,30,20,15
496,3000,500,200,100,50
497,1000,500,50,10,7
501,3000,470,50,10,5
498,500,250,75,40,20
500,2466.35,493.27,92.49,37,8.63
502,1000,400,83,50,25
499,1500,150,15,6,1
504,500,125,25,10,5
503,10000,2000,400,250,100
505,2539,991,238,40,10
506,1500,300,150,50,15
508,4000,3000,300,40,15
507,3100,300,150,50,10
510,2500,450,50,15,10
511,3000,300,30,10,1
509,1200,600,250,90,50
512,500,25,3,2,1
513,50000,15000,1000,75,35
514,2000,600,100,16,8
515,2000,500,200,100,75
517,400,80,25,15,5
516,100,50,10,5,2
518,5000,500,200,100,50
519,9000,1000,150,40,15
520,1100,275,70,35,9
521,1233.17,123.32,61.66,12.33,1.23
522,1000,400,150,80,40
523,5000,750,250,50,15
524,50000,5000,800,25,5
525,1000,500,250,100,50
526,1000,125,50,20,10
527,6000,750,100,15,10
528,2000,400,125,35,10
529,1500,330,100,40,30
530,1750,290,60,15,3
531,5000,1000,100,20,2
532,450,125,100,50,15
533,3000,550,110,35,4
534,7500,250,50,30,15
535,5000,1200,200,25,10
536,2900,475,140,20,5
537,2500,250,100,25,10
538,1000,500,175,100,75
539,4200,350,70,20,5
540,1500,400,40,10,5
541,875,375,100,75,35
542,500,100,20,10,5
543,4685,475,89,32,6
544,4000,800,200,30,5
545,5000,500,200,50,25
546,300,80,40,15,5
547,3500,400,100,20,5
548,2466.35,246.63,37,16.03,6.17
549,5000,500,50,30,20
550,1200,350,150,60,20
551,750,100,8,4,1
552,750,100,50,35,20
553,1000,100,35,15,5
554,9500,1500,250,30,25
555,3000,500,75,25,15
556,4000,500,300,50,20
557,5000,500,50,10,5
558,450.74,262.93,150.25,75.12,18.78
559,3000,600,125,20,3
560,986.54,585.76,308.29,98.65,37
561,1000,250,30,20,10
562,998,344,119,42,15
563,2500,500,200,75,10
564,1800,800,225,150,75
565,1100,750,65,15,12
566,800,100,50,20,10
567,950,300,100,25,5
568,5000,800,100,18,15
569,5000,1000,300,150,50
570,493.27,184.98,61.66,7.4,1.23
571,4000,750,250,150,75
572,250,100,50,25,5
573,438.16,274.54,108.72,54.91,20.86
574,1000,100,20,10,3
575,5000,1000,400,150,75
576,1233.17,616.59,123.32,49.33,18.5
577,8000,2000,350,50,5
578,1000,600,200,75,25
579,1000,500,140,65,3
580,511.69,255.85,102.34,51.17,25.58
581,500,150,75,30,15
582,1800,600,100,60,12
583,1250,600,250,50,45
584,1500,200,50,20,10
585,8250,1100,220,27,22
586,300,55,50,20,10
587,2600,550,185,110,75
588,1200,200,50,25,5
589,5000,375,25,5,1
590,1500,400,160,50,30
591,3000,350,150,50,15
592,750,175,50,15,10
593,500,65,50,25,10
594,1000,600,250,90,40
595,2200,400,175,125,75
596,7500,950,120,35,25
597,1500,425,150,100,75
598,600,250,50,10,3
599,1000,275,250,25,10
600,369.95,141.82,92.49,49.33,30.83
601,500,200,80,40,20
602,500,100,50,25,10
603,200,100,25,5,1
604,1500,250,35,10,5
605,2000,500,100,10,5
606,3100,410,225,48,35
607,3756.13,375.61,75.12,37.56,3.76
608,1500,400,100,30,15
609,6000,1000,200,100,50
610,400,175,75,40,15
611,800,100,50,40,30
612,1000,500,250,150,100
613,2360,586,215,62,15
614,4000,480,200,100,80
615,1000,500,75,20,10
616,600,125,50,12,6
617,308.29,184.98,123.32,61.66,24.66
618,2300,375,75,35,20
619,400,150,45,15,10
620,450,150,25,20,15
621,500,75,30,7,3
622,300,100,50,30,15
623,700,250,100,40,10
624,1500,375,50,10,5
625,1000,500,200,100,25
626,2000,100,40,15,5
627,8000,1000,150,25,15
629,2000,250,50,20,10
628,800,300,120,25,10
630,1200,200,40,10,5
632,2000,700,250,50,25
631,1233.17,369.95,123.32,37,12.33
633,450,189,150,16,7
634,5000,1000,200,30,1
635,2000,500,400,300,250
636,3380.05,676.01,169,54.08,20.28
637,600,350,100,20,10
638,750,150,75,10,5
639,800,400,250,150,75
640,500,150,30,10,5
641,2466.35,277.46,37,24.66,12.33
642,1000,150,125,100,50
643,5000,1000,150,100,40
644,500,50,30,6,5
645,998,344,119,42,15
646,400,47,19,14,5
647,5000,550,300,90,3
648,5000,800,300,100,50
649,3500,400,200,50,20
650,2500,500,75,10,5
651,1000,150,25,10,3
652,1000,750,150,25,10
653,3600,900,100,35,15
654,550,90,40,12,4
655,1750,340,75,15,3
656,2196.3,658.89,219.63,164.72,54.91
657,800,300,200,10,5
658,3500,1000,125,20,10
659,16000,1600,250,100,50
660,50000,5000,500,50,7
661,1100,250,60,15,4
662,600,150,20,3,1
663,2500,500,125,25,5
664,1000,800,400,200,100
665,750,75,35,10,5
666,1500,250,25,5,3
667,1500,500,100,60,20
668,3000,600,120,70,40
669,1000,300,45,10,3
670,350,200,150,100,60
671,2500,415,50,10,4
672,500,100,30,10,5
673,50,15,10,2,1
674,150,100,50,30,10
675,20000,2000,500,250,200
676,500,350,150,20,8
677,500,150,30,10,3
678,300,250,150,45,35
679,1000,400,150,75,50
680,150,45,20,10,5
681,1900,450,80,40,8
682,600,100,75,25,5
683,1500,250,25,5,1
684,1500,150,25,10,2
685,3500,400,200,100,80
686,1700,150,40,6,3
687,350,100,40,15,5
688,450,250,100,30,10
689,1000,200,50,10,2
690,500,100,25,15,10
691,705.97,254.15,169.43,98.84,70.6
692,500,100,50,20,5
693,1500,200,100,25,10
694,1250,250,50,10,2
695,500,100,50,25,15
696,2500,200,25,10,5
697,1100,200,125,100,10
698,3000,700,200,100,70
699,3600,680,68,20,3
700,3000,500,20,8,1
701,645,162,74,32,8
702,3074.82,549.08,219.63,109.82,54.91
703,10000,1500,300,60,12
704,2000,700,550,250,100
705,600,200,50,10,3
706,2000,250,75,50,25
707,1000,500,300,150,100
708,1000,350,30,7,5
709,400,200,100,40,5
710,1400,500,250,125,25
711,442,113,35,5,1
712,1500,300,75,25,5
713,2000,250,90,35,5
714,1499,499,135,15,2
715,2196.3,274.54,38.44,27.45,21.96
716,500,50,10,5,1
717,5000,344,119,42,15
718,15000,1500,150,15,2
719,369.95,184.98,61.66,37,24.66
720,2700,500,125,25,5
721,650,100,50,25,12
722,1000,75,40,25,10
723,250,50,30,20,12
724,6700,670,60,50,40
725,250,100,25,15,10
726,998,330,105,30,9
727,2500,600,300,150,100
728,3000,500,100,10,1
729,8000,1500,500,200,100
730,3250,312,172,50,10
731,1000,400,30,5,3
732,900,50,10,6,5
733,1250,250,65,12,3
734,3000,800,190,25,10
735,1550,400,150,30,20
736,165,51,15,4,3
737,500,50,30,20,15
738,800,500,300,38,19
739,5000,900,250,100,50
740,200,100,50,25,10
741,300,150,100,50,20
742,10000,1250,125,30,25
743,1700,500,150,40,12
744,2000,80,15,6,3
745,1999,799,149,49,21
746,810,385,151,54,22
747,600,50,15,5,2
748,2400,245,145,95,45
749,4000,700,150,25,5
750,2774.64,308.29,184.98,61.66,43.16
751,667,150,30,12,4
752,1000,200,50,10,5
753,3295,895,225,55,20
754,12500,1250,75,10,5
755,750,425,225,100,50
756,2000,200,20,2,1
757,5000,3000,400,100,25
758,500,200,50,20,5
759,658.89,329.45,142.76,60.4,9.88
760,2000,1000,350,150,80
761,1020,120,96,24,12
762,5000,500,100,40,10
763,2200,225,25,15,10
764,2000,400,300,50,40
765,100000,7000,700,400,200
766,2740,1250,250,50,5
767,1233.17,147.98,98.65,73.99,49.33
768,800,225,90,20,3
769,1000,700,130,35,10
770,1000,100,50,25,10
771,2000,250,30,10,2
772,1500,500,100,15,10
773,150,80,35,20,10
774,700,75,40,15,3
775,5,4,3,2,1
776,400,100,25,10,1
777,1000,250,70,49,19
778,5000,1200,200,65,40
779,8000,1000,130,50,30
780,4000,350,35,17,3
781,875,475,100,50,15
782,1250,250,50,10,2
783,3000,500,20,10,5
784,200,150,100,50,10
785,500,75,25,10,2
786,1000,325,50,25,10
787,1757.04,329.45,54.91,21.96,5.49
788,2500,800,200,50,15
789,1000,400,200,40,25
790,1250,250,50,10,2
791,150,50,30,15,10
792,5490.75,549.08,164.72,32.94,21.96
793,6000,600,100,25,15
794,400,200,48,5,2
796,1500,150,60,10,3
797,200,75,18,6,1
795,1400,400,150,25,4
798,500,150,50,25,5
799,1000,700,200,150,100
801,650,100,50,25,12
800,878.52,329.45,274.54,98.83,43.93
802,1500,281,50,5,2
803,6000,1500,300,45,5
804,1800,325,140,50,20
805,7500,1500,300,50,10
806,1000,250,100,75,50
807,400,225,100,15,5
808,3449.8,492.83,86.25,73.92,61.6
809,2500,500,250,90,85
810,1000,100,50,20,10
811,800,150,20,7,1
812,2000,300,30,5,3
813,3000,400,50,10,2
815,1000,100,50,10,1
814,100,50,30,20,10
816,100,75,50,20,5
817,700,57,5,2,1
818,350,55,29,19,10
819,1126.84,225.37,112.68,48.83,26.29
820,0.01,0,0,0,0
821,1300,180,30,5,1
822,200,60,50,40,30
823,1000,500,150,50,20
824,200,60,40,20,10
825,1000,200,50,6,3
826,1109.86,221.97,73.99,37,6.17
827,2500,150,100,75,50
828,5000,500,50,5,3
829,2161.4,254.28,38.14,7.63,1.27
830,4000,400,90,40,10
831,2500,300,75,25,10
832,4500,1000,150,50,25
833,3000,400,150,75,40
834,2500,350,60,50,40
835,1000,600,60,12,5
836,200,50,10,5,1
837,20000,2000,350,50,5
838,450,430,250,180,100
839,1000,250,50,5,1
840,40,20,5,2,1
841,800,400,150,75,50
842,3000,800,500,200,100
843,4000,400,50,30,5
844,150,50,35,10,2
845,1450,220,30,5,3
846,1000,300,75,15,5
847,500,250,25,5,1
848,7000,500,50,5,3
849,500,225,100,40,30
850,988.34,312.97,126.29,21.96,5.49
851,2100,800,180,40,10
852,800,150,75,40,15
853,5490.75,1482.5,203.16,40.63,21.96
854,7200,680,60,7,1
855,1500,175,75,50,10
856,179.09,35.82,8.19,4.09,2.56
857,1000,500,150,20,5
858,1500,300,100,50,25
859,2000,300,80,20,10
860,246.63,123.32,61.66,6.17,1.23
861,950,500,100,25,15
862,850,80,50,15,3
863,3500,700,250,30,7
864,1300,180,80,30,15
865,4700,550,130,45,20
866,17500,2500,350,40,35
867,500,200,100,50,40
868,1000,600,300,150,100
869,2000,500,250,150,75
870,600,50,25,15,10
871,1014.02,202.8,67.6,16.9,6.76
872,4000,600,100,20,8
873,750,150,70,30,20
874,300,60,40,20,5
875,750,180,30,15,10
876,150,70,20,10,7
877,12500,2500,250,25,5
878,1250,250,75,25,10
879,3000,1000,250,50,20
880,3000,700,200,10,1
881,3500,300,20,2,1
882,500,100,50,20,10
883,1750,450,170,48,10
884,750,250,150,70,8
885,658.89,219.63,54.91,10.98,5.49
886,549.08,219.63,32.94,16.47,5.49
887,850,227,80,35,11
888,1250,125,60,30,15
889,2000,500,300,150,70
890,15024.54,1502.45,187.81,18.78,6.01
891,625,150,100,65,50
892,2500,1200,125,50,10
893,1100,230,100,40,10
894,1000,350,125,100,50
895,4000,1800,800,400,300
896,80,20,10,5,2
897,5000,1000,300,125,100
898,2500,400,40,8,5
899,200,75,10,5,2
900,1000,200,150,120,100
901,2500,425,50,9,3
902,500,400,300,200,100
903,2196.3,329.45,241.59,164.72,71.38
904,1000,600,400,100,35
905,3000,1000,150,20,5
906,1000,100,15,10,5
907,2000,250,135,20,10
908,1800,550,150,40,12
909,1000,500,150,50,20
910,4000,500,60,10,5
911,2500,350,59,9,4
912,1647.23,439.26,164.72,32.94,10.98
913,1850,450,215,95,35
914,4941.68,549.08,82.36,10.98,5.49
915,500,400,300,200,100
916,1000,200,30,10,5
917,5000,500,100,20,10
918,507.01,101.4,47.32,27.04,13.52
919,10000,1150,135,15,2
920,10000,1100,140,60,50
921,5490.75,1647.23,439.26,219.63,54.91
922,16472.26,2196.3,549.08,219.63,109.82
923,4000,500,150,100,50
924,5000,1250,250,50,10
925,3000,500,150,100,75
926,2500,500,100,40,10
927,100,30,15,10,5
928,2500,400,50,20,10
929,1000,500,150,50,30
930,2500,650,100,40,20
931,9500,1000,150,25,5
932,200,125,60,40,20
933,6000,900,180,126,60
934,35000,15000,7500,3500,1500
935,3600,650,300,75,50
936,1500,350,75,30,10
937,3000,400,50,6,3
938,847.17,282.39,70.6,8.47,3.53
939,140,90,60,30,5
940,2500,500,125,20,5
941,3500,1000,200,70,30
942,1500,500,150,70,30
943,2532.83,316.6,94.98,25.33,12.66
944,5000,1500,500,100,20
945,120,55,45,25,3
946,400,250,75,30,15
947,4500,450,75,25,20
948,4500,1000,500,300,200
949,3500,400,50,20,10
950,20,15,10,8,7
951,1500,600,300,100,20
952,200,100,10,7,5
953,3600,415,210,115,60
955,1500,150,45,15,10
956,200,100,50,10,5
954,3500,500,125,75,25
957,4000,1000,375,100,30
958,10000,1500,200,25,5
960,5000,750,100,25,5
959,50,20,15,10,5
961,1500,500,100,20,5
962,1000,500,100,50,20
963,4000,800,300,150,50
964,2219.71,221.97,92.49,37,18.5
966,2000,500,200,50,20
967,3000,1000,300,60,25
968,250,75,15,5,1
965,2000,200,50,5,1
969,10981.5,5490.75,274.54,5.49,1.1
970,15000,1500,150,15,1
971,10000,1000,150,100,50
972,50000,5000,500,50,5
973,225,125,50,20,2
974,3000,830,240,70,20
975,4000,500,80,25,10
976,1000,100,25,20,10
977,768.71,164.72,54.91,24.16,5.49
978,5000,600,300,100,10
979,7500,750,100,35,20
980,5490.75,549.08,274.54,65.89,21.96
981,1000,200,80,40,25
982,2300,750,250,45,20
983,5000,750,500,200,100
984,1000,200,100,35,20
985,12180,2500,250,60,30
986,1800,200,120,75,30
987,1500,500,250,100,20
988,1500,280,200,150,70
989,13522.08,1352.21,187.81,48.83,30.05
