id,50000_units,5000_units,500_units,50_units,5_units
2007,1647.23,658.89,219.63,109.82,43.93
2009,924.01,187.81,37.56,18.78,7.51
2008,6500,1000,100,75,50
2010,2500,1500,700,300,150
2012,20000,2000,200,20,2
2011,2500,500,250,50,10
2013,10000,5000,2000,150,50
2015,800,500,300,150,75
2014,2466.35,591.92,197.31,49.33,37
2016,5000,500,100,13,10
2017,10000,1000,125,20,2
2018,1098.15,483.19,197.67,82.36,32.94
2019,1000,175,20,10,4
2020,4500,500,55,25,5
2022,8800,1900,250,80,20
2021,3293.35,823.61,186.69,42.83,10.98
2023,500,300,100,50,5
2024,600,150,80,30,10
2025,658.89,329.45,274.54,131.78,65.89
2026,800,80,20,10,5
2027,1500,500,250,150,80
2028,5000,600,150,75,50
2029,2500,500,75,25,10
2030,3294.45,384.35,109.82,43.93,16.47
2031,5000,500,50,15,10
2032,8000,1000,150,15,5
2033,1500,250,100,50,25
2035,400,120,25,5,3
2034,1500,750,300,100,50
2036,225,120,65,15,5
2037,6000,700,100,65,40
2038,5000,500,250,50,10
2039,15000,1000,200,75,30
2040,7500,800,80,25,15
2041,400,200,100,35,20
2042,900,600,400,300,200
2043,1000,300,150,50,45
2044,750,80,38,18,12
2045,1849.76,1233.17,924.88,616.59,184.98
2046,50000,7500,1000,150,25
2048,2000,470,100,20,15
2047,15000,2000,300,50,25
2049,1500,300,130,30,5
2050,20,12,10,6,2
2051,2415.93,593,120.8,30.75,10.98
2052,2000,300,80,10,3
2053,25000,250,25,5,1
2054,7000,800,90,10,5
2055,4000,459,153,67,30
2056,6000,1500,300,60,20
2057,8785.2,988.34,219.63,38.44,21.96
2058,1500,500,400,300,150
2059,7000,3300,850,95,10
2060,1000,500,250,50,10
2061,1000,300,200,100,75
2062,440,240,120,40,30
2063,10981.5,1098.15,219.63,54.91,21.96
2064,500,100,25,5,1
2065,5000,1000,100,25,5
2066,7687.05,1647.23,164.72,109.82,54.91
2067,2525.75,439.26,329.45,109.82,54.91
2068,2253.68,319.27,112.68,37.56,18.78
2069,13500,2500,480,90,25
2070,2000,350,140,18,1
2071,935.84,93.58,46.79,28.08,9.36
2072,2000,500,200,100,25
2073,3600,425,225,80,60
2074,2745.38,549.08,142.76,54.91,27.45
2075,1750.05,437.51,87.5,17.5,8.75
2076,2500,250,175,100,50
2077,1500,375,100,20,2
2078,1500,200,100,50,45
2079,3074.82,384.35,164.72,54.91,5.49
2080,573.1,153.51,127.92,51.17,35.82
2081,3000,1000,120,35,15
2082,5000,300,100,35,15
2083,2000000,800,50,15,5
2084,2196.3,439.26,109.82,87.85,54.91
2085,1200,360,120,60,30
2086,4392.6,527.11,164.72,82.36,43.93
2087,549.08,109.82,43.93,10.98,5.49
2088,650,250,100,20,10
2089,600,200,36,10,1
2090,1500,150,100,80,50
2091,3348.71,532.75,165.45,77.21,27.57
2092,1232.07,369.62,73.92,24.64,19.71
2093,5000,2500,250,50,25
2094,30000,3000,500,300,150
2095,1250,250,50,10,5
2096,10000,1000,100,10,1
2097,733.74,240.47,147.98,37,14.8
2098,800,250,150,50,25
2099,219.63,43.93,19.77,8.79,4.39
2100,19999,2222,255,55,25
2101,1098.15,549.08,219.63,208.65,82.36
2102,10000,1000,120,50,40
2103,1000,200,150,50,10
2104,100000,10000,1000,100,10
2105,2466.35,369.95,123.32,30.83,6.17
2106,1200,480,150,50,15
2107,10000,1250,350,100,50
2108,2196.3,439.26,252.57,27.45,4.39
2109,3200,450,180,100,50
2110,1000,70,25,21,20
2111,10000,1200,170,24,2
2112,750,100,40,5,1
2113,2000,800,250,100,30
2114,950,180,45,30,20
2115,2000,150,50,10,5
2116,10000,2000,1000,500,200
2117,5000,400,250,45,20
2118,5000,500,250,50,10
2119,3294.45,329.45,87.85,65.89,54.91
2120,9358.43,1871.69,233.96,93.58,28.08
2121,150,50,25,10,5
2122,5400,180,75,40,5
2123,2000,250,120,100,70
2124,2000,750,200,100,50
2125,12320.72,1478.49,394.26,78.85,24.64
2126,2745.38,197.67,71.38,38.44,21.96
2127,3000,600,250,150,70
2128,10000,1500,500,150,50
2129,150,100,60,40,25
2130,710,533,355,249,178
2131,2196.3,878.52,219.63,109.82,54.91
2134,4000,500,80,25,10
2132,1233.17,369.95,172.64,49.33,37
2133,300,250,200,100,50
2135,1000,500,150,100,30
2136,2250,300,100,20,10
2137,5000,750,200,100,50
2139,3294.45,658.89,164.72,54.91,32.94
2138,503,502,501,500,1
2140,2000,500,90,15,3
2141,10000,800,300,80,35
2142,600,350,175,45,8
2143,10000,1800,500,300,100
2144,100000,15000,2500,250,25
2145,1200,150,30,20,10
2146,8000,650,200,100,70
2147,3756.13,638.54,131.46,56.34,22.54
2148,500,150,50,15,5
2149,30,25,20,10,3
2150,2332.07,560.59,204.52,102.02,34.01
2151,6165.87,1849.76,184.98,18.5,6.17
2152,7500,750,300,150,100
2153,200,100,50,20,10
2154,1750,175,105,45,20
2155,380,185,45,8,4
2156,800,300,50,7,1
2157,800,250,50,7,1
2158,2000,300,100,50,25
2159,3294.45,494.17,164.72,93.34,71.38
2160,1537.41,1206.87,120.8,65.89,43.93
2161,1000,200,30,10,9
2162,5000,1000,400,200,20
2163,54907.52,8236.13,1098.15,274.54,109.82
2164,5500,500,250,100,50
2165,2733.3,822.51,218.53,31.85,9.88
2166,2031.54,812.62,152.37,30.47,10.16
2167,700,75,30,20,15
2168,1499,899,699,299,99
2169,2500,1000,200,40,10
2170,8236.13,1647.23,329.45,82.36,16.47
2171,2000,500,200,100,45
2172,50000,10000,2000,250,35
2173,92,6,4,3,2
2174,3082.94,616.59,308.29,49.33,24.66
2175,250,80,25,10,5
2176,5000,500,100,50,20
2177,425,210,135,75,40
2178,1000,300,200,100,60
2179,1800,700,250,100,50
2180,5490.75,658.89,329.45,164.72,109.82
2181,1757.04,329.45,164.72,43.93,21.96
2182,405,135,45,15,5
2183,503,502,501,500,1
2184,2500,850,300,70,25
2185,3200,500,80,15,5
2186,400,300,250,100,30
2187,25000,2500,250,25,5
2188,375.61,75.12,37.56,22.54,15.02
2189,800,300,50,7,1
2190,2400,570,140,40,10
2191,1000,500,100,30,10
2192,2000,400,200,75,50
2193,658.89,164.72,54.91,21.96,3.29
2194,10981.5,1427.6,186.69,39.53,32.94
2195,1000,500,250,100,50
2196,1200,700,100,40,10
2197,3000,700,175,100,60
2198,460,300,140,39,22
2199,350,120,80,25,5
2200,3500,600,150,85,60
2202,2500,750,200,75,25
2201,3500,550,120,60,45
2203,12500,1250,130,13,10
2204,1050,120,50,25,20
2205,503,502,501,500,1
2207,1000,500,100,50,5
2206,15000,1500,400,85,25
2208,384.35,54.91,7.69,3.29,1.1
2209,1100,182,70,14,5
2210,10000,1500,250,90,20
2211,5004,704,71,16,4
2212,1800,400,150,80,30
2213,967.65,96.76,19.35,15.48,13.55
2214,1334.25,271.24,155.94,69.18,18.67
2215,1935.3,348.35,48.38,9.68,4.84
2216,5000,1250,200,100,75
2217,618.61,108.26,46.4,7.73,6.19
2218,4809.38,1048.2,221.97,55.49,18.5
2219,1000,300,100,20,5
2220,18780.67,1502.45,135.22,30.05,3
2221,5000,1000,150,20,10
2222,1000,150,80,60,40
2223,5000,1000,100,25,5
2224,4500,600,400,200,100
2225,2000,300,50,30,20
2226,5000,1000,500,200,100
2227,10000,1500,200,100,25
2228,5000,1500,250,40,10
2229,9000,1200,150,40,25
2230,1233.17,154.15,110.99,73.99,30.83
2231,500,200,120,40,20
2232,500,300,200,25,3
2233,2000,300,200,100,50
2234,6500,2000,500,120,80
2235,1000,300,50,25,10
2236,3000,1000,799,50,30
2237,1317.78,439.26,274.54,164.72,109.82
2238,503,502,501,500,1
2239,1500,700,400,20,10
2240,2500,500,100,40,15
2241,4500,725,250,35,5
2242,15000,1200,150,50,25
2243,5490.75,1032.26,301.99,175.7,164.72
2244,110,80,60,15,10
2245,2000,250,50,25,10
2246,751.23,225.37,45.07,11.27,2.25
2247,2300,600,200,60,20
2248,300,150,80,40,20
2249,5000,200,100,50,5
2250,10000,3000,300,50,25
2251,986.54,369.95,184.98,61.66,30.83
2252,1200,449,179,44,29
2253,1200,400,50,20,10
2254,600,350,80,30,20
2255,150,80,50,20,10
2256,15000,2000,225,25,3
2257,2000,500,300,200,70
2258,2589.67,1048.2,246.63,61.66,22.2
2259,2000,100,30,10,7
2260,527.11,87.85,43.93,13.18,7.69
2261,246.63,123.32,61.66,24.66,12.33
2262,1000,400,250,80,25
2263,300,90,50,30,10
2264,1000,500,50,10,5
2265,2000000,1000000,100,40,1
2266,800,200,50,20,5
2267,1000,150,100,50,10
2268,400,200,100,25,5
2269,2000,550,175,20,15
2270,3294.45,329.45,54.91,32.94,16.47
2271,1800,420,220,50,30
2272,8000,1000,100,15,10
2273,3200,400,300,250,150
2274,150000,15000,1500,150,15
2275,4300,725,150,45,17
2276,1000,200,75,35,10
2277,800,175,40,15,5
